Zip,Population
20601,24156
20602,24955
20603,28967
20606,431
20607,9802
20608,919
20609,1120
20611,1078
20612,261
20613,11860
20615,405
20616,5857
20617,781
20618,607
20619,10503
20620,1443
20621,1373
20622,4900
20623,2744
20624,1282
20625,1062
20626,373
20628,594
20629,535
20630,348
20632,347
20634,5927
20636,9937
20637,5423
20639,14227
20640,10438
20645,857
20646,18890
20650,13717
20653,24481
20657,20483
20658,854
20659,23498
20660,97
20662,2934
20664,2987
20667,494
20670,1014
20674,830
20675,1671
20676,3871
20677,2322
20678,11045
20680,1119
20684,1125
20685,6471
20686,1332
20687,313
20688,1828
20689,1694
20690,740
20692,1051
20693,1088
20695,6794
20701,2
20705,26188
20706,38692
20707,31538
20708,25546
20710,9313
20711,6643
20712,9031
20714,4345
20715,26382
20716,20787
20720,21031
20721,27016
20722,5711
20723,28972
20724,16093
20732,9919
20733,2672
20735,35421
20736,8904
20737,20684
20740,28780
20742,7808
20743,38621
20744,50722
20745,28451
20746,28838
20747,40054
20748,38792
20751,2343
20754,6951
20755,9302
20758,721
20759,3355
20762,2973
20763,2664
20764,4176
20765,514
20769,6604
20770,25173
20772,42625
20774,43013
20776,3289
20777,3314
20778,2009
20779,1182
20781,11440
20782,30560
20783,44487
20784,29449
20785,35052
20794,14098
20812,255
20814,27642
20815,29082
20816,16208
20817,36240
20818,1962
20832,24965
20833,7735
20837,5789
20838,259
20839,214
20841,10460
20842,1824
20850,46340
20851,14191
20852,40365
20853,29673
20854,49611
20855,14295
20860,2396
20861,1875
20862,343
20866,13344
20868,790
20871,13130
20872,13104
20874,57367
20876,25496
20877,34321
20878,62446
20879,24360
20880,450
20882,14063
20886,33282
20895,19054
20896,906
20899,142
20901,34832
20902,48841
20903,23625
20904,54612
20905,18044
20906,64696
20910,37445
20912,24807
21001,21487
21005,2112
21009,29766
21010,104
21012,21317
21013,4653
21014,36047
21015,27763
21017,7062
21028,3460
21029,11333
21030,24355
21031,4
21032,8848
21034,3387
21035,7815
21036,2114
21037,20618
21040,24420
21042,38076
21043,42246
21044,41704
21045,38288
21046,15080
21047,11873
21048,10650
21050,18202
21051,279
21052,303
21053,3305
21054,10127
21056,267
21057,4112
21060,29223
21061,53684
21071,497
21074,15084
21075,26344
21076,12952
21077,224
21078,17603
21082,654
21084,7652
21085,16171
21087,5451
21090,9784
21093,36465
21102,11751
21104,4601
21105,65
21108,17964
21111,4903
21113,30469
21114,25225
21117,53778
21120,6967
21122,60576
21128,12802
21130,187
21131,7253
21132,2634
21133,29998
21136,33781
21140,3457
21144,31884
21146,26705
21152,5544
21153,323
21154,6464
21155,2371
21156,358
21157,36920
21158,20234
21160,2408
21161,5490
21162,3655
21163,7026
21201,16972
21202,22832
21204,20253
21205,16146
21206,50846
21207,48133
21208,33917
21209,26465
21210,14292
21211,17351
21212,32322
21213,32733
21214,20564
21215,60161
21216,32071
21217,37111
21218,49796
21219,9379
21220,39199
21221,42154
21222,55786
21223,26366
21224,49134
21225,33545
21226,7561
21227,33534
21228,47577
21229,45213
21230,33568
21231,15748
21234,69752
21236,38474
21237,30059
21239,28793
21240,0
21244,34611
21250,3205
21251,934
21252,2872
21286,19206
21401,36012
21402,5217
21403,30269
21405,544
21409,20064
21502,44400
21520,2074
21521,1265
21522,141
21523,286
21524,626
21529,631
21530,1591
21531,2227
21532,15620
21536,4121
21538,716
21539,2819
21540,65
21541,1546
21542,483
21543,140
21545,1940
21550,14194
21555,1936
21557,1895
21561,2627
21562,3141
21601,23597
21607,583
21610,378
21612,492
21613,17330
21617,9907
21619,5848
21620,12853
21622,558
21623,2111
21624,143
21625,2719
21626,120
21627,18
21628,556
21629,9555
21631,2731
21632,6353
21634,305
21635,2098
21636,1186
21638,4934
21639,4408
21640,1632
21641,117
21643,5979
21644,111
21645,1039
21647,289
21648,255
21649,1858
21650,238
21651,2898
21652,183
21653,114
21654,1236
21655,5009
21657,777
21658,3862
21659,1551
21660,4063
21661,2653
21662,555
21663,3308
21664,539
21665,287
21666,12309
21667,310
21668,1904
21669,229
21671,756
21672,241
21673,3136
21675,105
21676,398
21677,440
21678,2301
21679,483
21701,35293
21702,38847
21703,32854
21704,13321
21705,8
21710,4515
21711,1029
21713,9502
21714,99
21716,4885
21717,54
21718,151
21719,1548
21722,5545
21723,803
21727,5850
21733,1163
21734,771
21737,1458
21738,3268
21740,61859
21742,31444
21746,1883
21750,3766
21754,6323
21755,5591
21756,3612
21757,3036
21758,4921
21762,249
21766,700
21767,991
21769,11236
21770,5164
21771,29563
21773,5460
21774,11662
21776,5735
21777,1470
21778,1094
21779,983
21780,1625
21781,136
21782,4097
21783,9130
21784,37941
21787,10693
21788,11622
21790,100
21791,5281
21793,9775
21794,2434
21795,9233
21797,8839
21798,2345
21801,29961
21802,89
21804,38491
21810,487
21811,22550
21813,2852
21814,380
21817,5236
21821,991
21822,1930
21824,198
21826,4837
21829,527
21830,4026
21835,507
21837,2614
21838,1736
21840,375
21841,860
21842,11089
21849,3238
21850,2790
21851,7315
21853,11126
21856,1035
21861,757
21862,106
21863,5029
21864,611
21865,470
21866,78
21867,114
21869,1006
21871,2124
21872,718
21874,2210
21875,6467
21890,3240
21901,15875
21902,471
21903,5687
21904,7252
21911,11004
21912,1231
21913,663
21914,765
21915,3030
21916,37
21917,2520
21918,4284
21919,3467
21920,257
21921,44471
21930,94
