FID,CSA2010,salepr10,salepr11,salepr12,salepr13,salepr14,salepr15,salepr16,salepr17,salepr18,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,42500,30000,47500,31805.5,33250,35500,46639.5,55000,75000,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,142250,120000,144501,139500,130000,126000,118450,139950,159450,37524.9505333862,47882527.7112373
3,Belair-Edison,56000,44000,60000,45100,41975,42000,45550,59075,79900,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,58005,42950,47050,45000,40000,37500,45000,52000,67500,150987.70363871,176077742.748461
5,Canton,251000,231000,261200,285500,275000,302900,286500,306500,295500,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,103225,88000,94500,97250,78575,69950,85000,112750,110000,39962.5498346887,71541340.306082
7,Cherry Hill,69000,61050,16000,34850,23500,19109,38000,45000,54080,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,117450,130000,124000,125000,120000,109500,125000,145000,153500,21705.411630324,21022590.1303212
9,Claremont/Armistead,139000,135000,79200,97000,90000,104900,76786,88820,131820,40104.4159801772,61243774.4204004
10,Clifton-Berea,13250,16050,21250,24000,20000,19000,13000,42786,58000,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,165000,143500,111250,131250,165000,200000,180000,172500,208000,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,245000,140625,225000,235000,227550,210000,172500,230000,230000,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,68150,80000,100000,88500,86250,84000,75000,103000,158000,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,210450,157600,197500,220000,235250,215000,182000,207000,174400,21565.8593945388,20736554.4071934
15,Edmondson Village,49100,41000,60000,56444,55000,45500,53000,73500,87000,21504.5513578719,23563061.0426838
16,Fells Point,215500,205000,226500,244000,249000,255000,271250,280000,267500,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,60250,50000,50000,70000,65500,50150,89900,85000,118000,36886.899781185,37200535.0297002
18,Glen-Fallstaff,102600,90000,127500,127450,87500,63500,80000,107500,129000,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,146000,135000,185000,170000,189900,167000,170000,185000,198500,26454.2692113378,27051213.4555493
20,Greater Govans,47094,37000,62750,60000,50600,50000,73000,71300,104000,22982.1257150065,22698495.7172767
21,Greater Mondawmin,34000,41950,28000,57000,40500,36100,41500,53610,84000,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,380000,335000,316250,320000,310000,269900,300000,317762,388000,39862.7497953315,56688145.179702
23,Greater Rosemont,29700,20000,39900,21875,20000,17500,25358,34784,48700,32559.0762212062,42204384.5422658
24,Greenmount East,12900,19000,18508,32450,30000,39500,45581,107875,60000,20797.473457859,19072287.8238042
25,Hamilton,139175,105975,116600,120000,106000,88500,115000,136000,153000,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,242500,202500,242000,292900,298000,284000,319600,300000,295000,18552.4075815481,10215859.0840198
27,Harford/Echodale,154950,134500,134950,144950,123999,144450,140900,150000,166000,40019.1854001864,65360039.1701278
28,Highlandtown,215000,191500,220000,250000,265000,265000,272750,259688,282000,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,115000,74250,115000,115000,70000,78000,75037.5,101000,155000,36034.4984469622,63262430.0731008
